final\initial,k/kh,g/gh,c/ch,j/jh,ṭ/ṭh,ḍ/ḍh,t/th,d/dh,p/ph,b/bh,n/m,,,,,,,,,,,
k,,g,,g,,g,,g,,g,ṅ,,,,,,,,,,,
ṭ,,ḍ,,ḍ,,ḍ,,ḍ,,ḍ,ṇ,,,,,,,,,,,
t,,d,c,j,ṭ,ḍ,,d,,d,n,,,,,,,,,,,
p,,b,,b,,b,,b,,b,m,,,,,,,,,,,
ṇ,,,,,,,,,,,,,,,,,,,,,,
n,,,ṃś,ñ,ṃṣ,ṇ,ṃs,,,,,,,,,,,,,,,
m,ṃ,ṃ,ṃ,ṃ,ṃ,ṃ,ṃ,ṃ,ṃ,ṃ,ṃ ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
final\initial,k,K,g,G,c,C,j,J,w,W,q,Q,t,T,d,D,p,P,b,B,n,m
k,k,k,g,g,k,k,g,g,k,k,g,g,k,k,g,g,k,k,g,g,N,N
w,w,w,q,q,w,w,q,q,w,w,q,q,w,w,q,q,w,w,q,q,R,R
t,t,t,d,d,c,c,j,j,w,w,q,q,t,t,d,d,t,t,d,d,n,n
p,p,p,b,b,p,p,b,b,p,p,b,b,p,p,b,b,p,p,b,b,m,m
R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
n,n,n,n,n,MS,MS,Y,Y,Mz,Mz,R,R,Ms,Ms,n,n,n,n,n,n,n,n
m,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
